Data,Vendedor,Produto,Valor Unitario,Quantidade Vendida,Faturamento,Lucro,Forma de Pagamento,Local da venda,Unnamed: 0
,,,,,R$ 0,,,,38
,,,,,R$ 0,,,,42
1/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,5,R$ 1.500,R$ 500,Cartão de Crédito,Acre (AC),12
1/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,2,R$ 1.000,R$ 500,Boleto,Alagoas (AL),83
1/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,6,R$ 4.200,R$ 2.600,Cartão de Crédito,Amapá (AP),29
1/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,1,R$ 300,R$ 100,Boleto,Amazonas (AM),64
,,,,,,,,,59
,,,,,,,,,51
1/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,1,R$ 500,R$ 300,Boleto,Bahia (BA),74
1/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,8,R$ 5.600,R$ 3.100,Cartão de Crédito,Ceará (CE),72
1/1/2020,João Lira - 17278283926,Celular,R$ 300,5,R$ 1.500,R$ 700,Cartão de Crédito,Distrito Federal (DF),71
1/1/2020,João Lira - 17278283926,Tablet,R$ 500,6,R$ 3.000,R$ 1.000,Cartão de Crédito,Espírito Santo (ES),97
1/1/2020,João Lira - 17278283926,Notebook,R$ 700,5,R$ 3.500,R$ 1.900,Cartão de Crédito,Goiás (GO),29
1/1/2020,João Lira - 17278283926,Celular,R$ 300,4,R$ 1.200,R$ 700,Cartão de Crédito,Maranhão (MA),8
1/1/2020,João Lira - 17278283926,Tablet,R$ 500,9,R$ 4.500,R$ 2.600,Cartão de Crédito,Mato Grosso (MT),54
1/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,1,R$ 700,R$ 300,Boleto,Mato Grosso do Sul (MS),74
1/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,4,R$ 1.200,R$ 200,Cartão de Crédito,Minas Gerais (MG),8
1/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,0,R$ 0,R$ 0,Cartão de Crédito,Pará (PA),6
1/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,0,R$ 0,R$ 0,Boleto,Paraíba (PB),67
1/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,5,R$ 1.500,R$ 900,Cartão de Crédito,Paraná (PR),85
1/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,0,R$ 0,R$ 0,Cartão de Crédito,Pernambuco (PE),71
1/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,2,R$ 1.400,R$ 700,Cartão de Crédito,Piauí (PI),50
1/1/2020,João Lira - 17278283926,Celular,R$ 300,4,R$ 1.200,R$ 600,Cartão de Crédito,Rio de Janeiro (RJ),87
1/1/2020,João Lira - 17278283926,Tablet,R$ 500,6,R$ 3.000,R$ 900,Cartão de Crédito,Rio Grande do Norte (RN),59
1/1/2020,João Lira - 17278283926,Notebook,R$ 700,6,R$ 4.200,R$ 1.300,Boleto,Rio Grande do Sul (RS),75
1/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,0,R$ 0,R$ 0,Cartão de Crédito,Rondônia (RO),37
1/1/2020,João Martins - 16337283762,Tablet,R$ 500,2,R$ 1.000,R$ 200,Cartão de Crédito,Roraima (RR),57
1/1/2020,João Lira - 17278283926,Notebook,R$ 700,1,R$ 700,R$ 100,Cartão de Crédito,Santa Catarina (SC),65
1/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,3,R$ 900,R$ 400,Boleto,São Paulo (SP),12
1/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,5,R$ 2.500,R$ 1.200,Cartão de Crédito,Sergipe (SE),54
1/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,3,R$ 2.100,R$ 1.200,Cartão de Crédito,Tocantins (TO),38
1/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,4,R$ 1.200,R$ 700,Boleto,Acre (AC),23
1/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,2,R$ 1.000,R$ 400,Cartão de Crédito,Alagoas (AL),75
1/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,2,R$ 1.400,R$ 400,Cartão de Crédito,Amapá (AP),49
1/1/2020,João Lira - 17278283926,Celular,R$ 300,2,R$ 600,R$ 200,Cartão de Crédito,Amazonas (AM),33
1/1/2020,João Lira - 17278283926,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Bahia (BA),94
1/1/2020,João Lira - 17278283926,Notebook,R$ 700,3,R$ 2.100,R$ 1.300,Boleto,Ceará (CE),23
1/1/2020,João Martins - 16337283762,Celular,R$ 300,2,R$ 600,R$ 300,Cartão de Crédito,Distrito Federal (DF),43
1/1/2020,João Lira - 17278283926,Tablet,R$ 500,3,R$ 1.500,R$ 700,Cartão de Crédito,Espírito Santo (ES),16
1/1/2020,João Lira - 17278283926,Notebook,R$ 700,3,R$ 2.100,R$ 900,Cartão de Crédito,Goiás (GO),63
2/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,6,R$ 1.800,R$ 400,Cartão de Crédito,Maranhão (MA),49
2/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,4,R$ 2.000,R$ 800,Cartão de Crédito,Mato Grosso (MT),47
2/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,4,R$ 2.800,R$ 1.200,Cartão de Crédito,Mato Grosso do Sul (MS),70
2/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,7,R$ 2.100,R$ 1.300,Cartão de Crédito,Minas Gerais (MG),39
2/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,7,R$ 3.500,R$ 700,Boleto,Pará (PA),81
2/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,5,R$ 3.500,R$ 1.900,Cartão de Crédito,Paraíba (PB),32
2/1/2020,João Lira - 17278283926,Celular,R$ 300,2,R$ 600,R$ 100,Boleto,Paraná (PR),24
2/1/2020,João Lira - 17278283926,Tablet,R$ 500,7,R$ 3.500,R$ 1.500,Cartão de Crédito,Pernambuco (PE),29
2/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 800,Cartão de Crédito,Piauí (PI),98
2/1/2020,João Martins - 16337283762,Celular,R$ 300,9,R$ 2.700,R$ 900,Cartão de Crédito,Rio de Janeiro (RJ),27
2/1/2020,João Lira - 17278283926,Tablet,R$ 500,8,R$ 4.000,R$ 2.100,Cartão de Crédito,Rio Grande do Norte (RN),27
2/1/2020,João Lira - 17278283926,Notebook,R$ 700,8,R$ 5.600,R$ 2.100,Cartão de Crédito,Rio Grande do Sul (RS),1
2/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,5,R$ 1.500,R$ 700,Cartão de Crédito,Rondônia (RO),43
2/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,6,R$ 3.000,R$ 1.100,Boleto,Roraima (RR),42
2/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,5,R$ 3.500,R$ 1.700,Cartão de Crédito,Santa Catarina (SC),22
2/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,4,R$ 1.200,R$ 500,Cartão de Crédito,São Paulo (SP),96
2/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,6,R$ 3.000,R$ 1.500,Boleto,Sergipe (SE),94
2/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Tocantins (TO),71
2/1/2020,João Lira - 17278283926,Celular,R$ 300,5,R$ 1.500,R$ 700,Cartão de Crédito,Acre (AC),44
2/1/2020,João Lira - 17278283926,Tablet,R$ 500,3,R$ 1.500,R$ 900,Cartão de Crédito,Alagoas (AL),36
2/1/2020,João Lira - 17278283926,Notebook,R$ 700,5,R$ 3.500,R$ 2.100,Cartão de Crédito,Amapá (AP),96
2/1/2020,João Lira - 17278283926,Celular,R$ 300,4,R$ 1.200,R$ 700,Cartão de Crédito,Amazonas (AM),58
2/1/2020,João Martins - 16337283762,Tablet,R$ 500,0,R$ 0,R$ 0,Cartão de Crédito,Bahia (BA),86
2/1/2020,João Lira - 17278283926,Notebook,R$ 700,0,R$ 0,R$ 0,Boleto,Ceará (CE),95
2/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,5,R$ 1.500,R$ 800,Boleto,Distrito Federal (DF),96
2/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,2,R$ 1.000,R$ 500,Cartão de Crédito,Espírito Santo (ES),96
2/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,1,R$ 700,R$ 400,Boleto,Goiás (GO),11
2/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,4,R$ 1.200,R$ 300,Cartão de Crédito,Maranhão (MA),28
2/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,1,R$ 500,R$ 300,Cartão de Crédito,Mato Grosso (MT),93
2/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,1,R$ 700,R$ 400,Cartão de Crédito,Mato Grosso do Sul (MS),94
2/1/2020,João Lira - 17278283926,Celular,R$ 300,1,R$ 300,R$ 200,Boleto,Minas Gerais (MG),82
2/1/2020,João Lira - 17278283926,Tablet,R$ 500,0,R$ 0,R$ 0,Boleto,Pará (PA),2
2/1/2020,João Lira - 17278283926,Notebook,R$ 700,1,R$ 700,R$ 300,Cartão de Crédito,Paraíba (PB),81
2/1/2020,João Martins - 16337283762,Celular,R$ 300,2,R$ 600,R$ 200,Boleto,Paraná (PR),94
2/1/2020,João Martins - 16337283762,Tablet,R$ 500,1,R$ 500,R$ 200,Cartão de Crédito,Pernambuco (PE),32
2/1/2020,João Martins - 16337283762,Notebook,R$ 700,1,R$ 700,R$ 200,Boleto,Piauí (PI),29
3/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,4,R$ 1.200,R$ 300,Boleto,Rio de Janeiro (RJ),21
3/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,1,R$ 500,R$ 100,Cartão de Crédito,Rio Grande do Norte (RN),51
3/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Rio Grande do Sul (RS),67
3/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,5,R$ 1.500,R$ 400,Boleto,Rondônia (RO),93
3/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,1,R$ 500,R$ 300,Cartão de Crédito,Roraima (RR),84
3/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,7,R$ 4.900,R$ 1.400,Cartão de Crédito,Santa Catarina (SC),42
3/1/2020,João Lira - 17278283926,Celular,R$ 300,6,R$ 1.800,R$ 1.000,Cartão de Crédito,São Paulo (SP),57
3/1/2020,João Lira - 17278283926,Tablet,R$ 500,7,R$ 3.500,R$ 700,Cartão de Crédito,Sergipe (SE),61
3/1/2020,João Lira - 17278283926,Notebook,R$ 700,1,R$ 700,R$ 200,Cartão de Crédito,Tocantins (TO),77
3/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,0,R$ 0,R$ 0,Cartão de Crédito,Acre (AC),52
3/1/2020,João Martins - 16337283762,Tablet,R$ 500,6,R$ 3.000,R$ 1.100,Cartão de Crédito,Alagoas (AL),59
3/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,3,R$ 2.100,R$ 700,Cartão de Crédito,Amapá (AP),41
3/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,6,R$ 1.800,R$ 1.100,Boleto,Amazonas (AM),36
3/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,2,R$ 1.000,R$ 500,Cartão de Crédito,Bahia (BA),25
3/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,2,R$ 1.400,R$ 600,Boleto,Ceará (CE),73
3/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,6,R$ 1.800,R$ 500,Cartão de Crédito,Distrito Federal (DF),93
3/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,0,R$ 0,R$ 0,Cartão de Crédito,Espírito Santo (ES),95
3/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,8,R$ 5.600,R$ 2.400,Cartão de Crédito,Goiás (GO),84
3/1/2020,João Lira - 17278283926,Celular,R$ 300,5,R$ 1.500,R$ 800,Cartão de Crédito,Maranhão (MA),89
3/1/2020,João Lira - 17278283926,Tablet,R$ 500,2,R$ 1.000,R$ 300,Cartão de Crédito,Mato Grosso (MT),13
3/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 400,Cartão de Crédito,Mato Grosso do Sul (MS),15
3/1/2020,João Lira - 17278283926,Celular,R$ 300,1,R$ 300,R$ 100,Cartão de Crédito,Minas Gerais (MG),56
3/1/2020,João Martins - 16337283762,Tablet,R$ 500,3,R$ 1.500,R$ 800,Boleto,Pará (PA),35
3/1/2020,João Martins - 16337283762,Notebook,R$ 700,4,R$ 2.800,R$ 1.400,Boleto,Paraíba (PB),43
3/1/2020,Alon Pinheiro - 14037281763,Celular,R$ 300,3,R$ 900,R$ 300,Boleto,Paraná (PR),11
3/1/2020,Alon Pinheiro - 14037281763,Tablet,R$ 500,6,R$ 3.000,R$ 1.700,Boleto,Pernambuco (PE),27
3/1/2020,Alon Pinheiro - 14037281763,Notebook,R$ 700,2,R$ 1.400,R$ 400,Cartão de Crédito,Piauí (PI),3
3/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,2,R$ 600,R$ 300,Boleto,Rio de Janeiro (RJ),70
3/1/2020,Diego Amorim - 13201937281,Tablet,R$ 500,2,R$ 1.000,R$ 500,Boleto,Rio Grande do Norte (RN),42
3/1/2020,Diego Amorim - 13201937281,Notebook,R$ 700,0,R$ 0,R$ 0,Cartão de Crédito,Rio Grande do Sul (RS),47
3/1/2020,João Lira - 17278283926,Celular,R$ 300,1,R$ 300,R$ 200,Cartão de Crédito,Rondônia (RO),38
3/1/2020,João Lira - 17278283926,Tablet,R$ 500,4,R$ 2.000,R$ 1.000,Cartão de Crédito,Roraima (RR),62
3/1/2020,João Lira - 17278283926,Notebook,R$ 700,2,R$ 1.400,R$ 500,Cartão de Crédito,Santa Catarina (SC),44
3/1/2020,Diego Amorim - 13201937281,Celular,R$ 300,1,R$ 300,R$ 100,Cartão de Crédito,São Paulo (SP),79
